10:50:00:341	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x135ea382cc5753b433b96aa41545b6bdf37d02d3269c19976d21535f3a9250c7","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11fe"]}

10:50:00:341	b99f0	parse packet: 247
10:50:00:341	b99f0	ETH: job is the same
10:50:00:341	b99f0	new buf size: 0
10:50:02:688	b6830	got 405 bytes
10:50:02:688	b6830	buf: {"params":["000000176c0f18ef","b3f21f8d870fe3fa7fcbb0892c738f896b9b88a446808a990000016e00000000","40fa950c358b7642552d14144e1835bac9ad21889c3dc88b757489dc09a7ab7a25c722896c8b0454fee0a92eb8b8b298115856e2c8e58334dbc321fd408a6d890100b7a6038aea86050001008da300002180011a5247b9ad010000001c480200f1110000bb3f635900000000","04000000",[],"04000000","1a018021","59633fbb",true],"id":null,"method":"mining.notify"}

10:50:02:688	b6830	parse packet: 404
10:50:02:689	b6830	new buf size: 0
10:50:02:689	b6830	 DCR: 07/10/17-10:50:02 - New job from decred.eu.nicehash.com:3354
10:50:02:689	b6830	target: 0x000000003fffc000 (diff: 17GH), block #149532
10:50:02:920	b99f0	got 248 bytes
10:50:02:920	b99f0	buf: {"id":0,"jsonrpc":"2.0","result":["0x3020bcfb4398808ddc85f6158e6d5dda50503c52433f7bad72056091cf52d888","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11ff"]}

10:50:02:921	b99f0	parse packet: 247
10:50:02:921	b99f0	ETH: job changed
10:50:02:921	b99f0	new buf size: 0
10:50:02:921	b99f0	ETH: 07/10/17-10:50:02 - New job from eu1.ethermine.org:4444
10:50:02:922	b99f0	target: 0x0000000112e0be82 (diff: 4000MH), epoch 133(2.04GB)
10:50:02:924	b99f0	ETH - Total Speed: 29.343 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
10:50:02:925	b99f0	ETH: GPU0 29.343 Mh/s
10:50:02:926	b99f0	 DCR - Total Speed: 586.854 Mh/s, Total Shares: 0, Rejected: 0
10:50:02:928	b99f0	 DCR: GPU0 586.854 Mh/s
10:50:07:716	b6830	got 405 bytes
10:50:07:716	b6830	buf: {"params":["000000176c0f27e6","b3f21f8d870fe3fa7fcbb0892c738f896b9b88a446808a990000016e00000000","3769ffee0243796c24c97abc1db6ab8ed4309289b4e812dc9c8a3606f8de42ebe1307bc6dab4234909ef228504c89efe2acfa238ac58b5f65d0f531d280c4d9d0100b7a6038aea86050001008da300002180011a5247b9ad010000001c48020089150000c03f635900000000","04000000",[],"04000000","1a018021","59633fc0",true],"id":null,"method":"mining.notify"}

10:50:07:716	b6830	parse packet: 404
10:50:07:717	b6830	new buf size: 0
10:50:07:717	b6830	 DCR: 07/10/17-10:50:07 - New job from decred.eu.nicehash.com:3354
10:50:07:717	b6830	target: 0x000000003fffc000 (diff: 17GH), block #149532
10:50:09:684	b6830	got 405 bytes
